,n,ComputationalGrid.DX,ComputationalGrid.DY,Geom.domain.ICPressure.Value,Patch.x-lower.BCPressure.alltime.Value,Patch.x-upper.BCPressure.alltime.Value,Patch.y-lower.BCPressure.alltime.Value,Patch.y-upper.BCPressure.alltime.Value,ComputationalGrid.NZ,Patch.z-upper.BCPressure.rain.Value,Contaminants.Names,Wells.Names,ComputationalGrid.DZ,Geom.domain.Upper.X,Geom.domain.Upper.Y,Mal_Qo,Mal_Qf,Mal_a,Bous_Qo,Bous_Qf,Bous_a,Cou_Qo,Cou_Qf,Cou_a,Cou_b,Mal_MSE,Mal_RMSE,Mal_Rsq,Bous_MSE,Bous_RMSE,Bous_Rsq,Cou_MSE,Cou_RMSE,Cou_Rsq
3674,2875,100,100,5.0,5.0,5.0,5.0,5.0,10,-0.32895399999999997,,,1.0,100,100.0,2.5045276908262304,2.4863785661040088,0.06032730550123067,2.5058723487494734,2.4855857814504483,0.041820349408536094,2.5052119790580565,2.4861166720192576,0.16555318748309114,1.2148936415086693,4.140761419792375e-08,0.00020348860950412863,0.9972692543525524,4.24267680257792e-08,0.000205977591076746,0.9972020432868244,1.2427912146848533e-08,0.00011148054604660193,0.9991804051583448
3675,6913,1,1,10.0,10.0,10.0,10.0,10.0,10,-0.42148549999999996,,,1.0,1,1.0,2.504845562280819,2.504845556985162,0.05109473545841115,2.5048455620144563,2.504845556890869,0.03812404691065946,2.504845563871977,2.5048455575341277,0.04625600647926152,1.000643559107517,5.0336438357910525e-17,7.094817711394037e-09,0.005939969474116791,5.0123775404119716e-17,7.0798146447572854e-09,0.009867159335972377,5.147879958589091e-17,7.174872792314224e-09,-0.0009284353495049302
3676,7417,1,1,2.5,2.5,2.5,2.5,2.5,1000,-0.23954499999999998,,,0.01,1,1.0,2.465793543328729,2.462316505257604,3.854576451413588,2.4657935542973504,2.4623162136866816,6.230638179548002,2.4633963840186794,2.462304502956133,0.2376368750583377,0.9758804169054752,2.1263810129544116e-18,1.4582115803114485e-09,0.9999999999736204,3.2370039592155714e-12,1.799167573967353e-06,0.9999598424439664,4.788315138647187e-08,0.00021882219125690124,0.4064906181149031
3677,4440,1,1,7.5,7.5,7.5,7.5,7.5,1000,-0.0945556,,,0.01,1,1.0,2.500379926042959,2.4997198863390664,0.6879055622384863,2.500363862991972,2.4997175305068327,0.4878723976533823,2.5000169178662706,2.4997172530630607,0.16998387295023934,0.9694809238043528,7.047353430284507e-10,2.6546851847788854e-05,0.8438288177497708,9.321265023063837e-10,3.0530746835057665e-05,0.79343834630686,2.015293382046528e-09,4.4892019135326587e-05,0.5539326002284402
3678,5343,1,1,7.5,7.5,7.5,7.5,7.5,100,-0.27502209999999994,,,0.1,1,1.0,2.501107152479408,2.4997192734037434,0.687932457465522,2.501073382294355,2.4997143203317784,0.4879055346743362,2.5004728829739014,2.49971514328761,0.2467013941221472,0.9769803673341118,3.1162707326738665e-09,5.582356789630941e-05,0.8438125629334491,4.121660515904572e-09,6.420015978098943e-05,0.79342244379224,7.0403370607197375e-09,8.390671642198698e-05,0.6476262387501472
3679,6526,10,10,10.0,10.0,10.0,10.0,10.0,100,-0.4513034000000001,,,0.1,10,10.0,2.5048836154814755,2.5048825785131705,3.161154288817021,2.504883615410868,2.504882578319806,3.959515809326841,2.5048827060458274,2.5048825799301504,0.07998442988722702,1.0060239157761952,1.5726380358740238e-22,1.2540486576979476e-11,0.999999978087968,1.222652564921864e-18,1.1057362094649269e-09,0.9998297408286724,6.20920738607601e-15,7.879852400950168e-08,0.14036032651077168
3680,7445,100,100,0.0,0.0,0.0,0.0,0.0,100,-0.1323881,,,0.1,100,100.0,2.5126547775162607,2.462207770431208,0.4214052841021474,2.511946658487477,2.4619036316512433,0.29737260149078165,2.492687828052059,2.4620005478158196,0.1801494250781203,0.9666137945367642,4.501985835649145e-06,0.002121788357883308,0.8657067110442929,6.341220137575654e-06,0.0025181779400144967,0.8108427393254103,9.374403687010937e-06,0.003061764799427111,0.7206648887371427
3681,3907,1,1,2.5,2.5,2.5,2.5,2.5,100,-0.2227042,,,0.1,1,1.0,2.4656551670343934,2.4623171681853493,3.8547107475175286,2.465655177556396,2.462316888310641,6.231105190960838,2.4633534878756143,2.4623059711231448,0.2386757501998732,0.976012573509982,1.953922346934848e-18,1.3978277243404668e-09,0.9999999999736988,2.9824831349057546e-12,1.7269867211144832e-06,0.999959853415658,4.408391132108557e-08,0.00020996169012723622,0.4070809666239211
3682,5906,1,1,0.0,0.0,0.0,0.0,0.0,100,-0.0267357,,,0.1,1,1.0,2.4281993118784224,2.4274218953968143,3.5204611229777347,2.4281993177970524,2.427421802740165,5.1345447065057614,2.42761528735224,2.42741997990956,0.2778957663822844,0.9795919161753821,4.66409028610073e-19,6.829414532813724e-10,0.9999999998842906,3.2011762700939417e-13,5.657893839666791e-07,0.9999205833478354,2.509312880692405e-09,5.009304223834289e-05,0.3793071423658676
3683,313,1,1,10.0,10.0,10.0,10.0,10.0,100,-0.46564259999999996,,,0.1,1,1.0,2.504898019514874,2.5048980078468097,0.050340206759732616,2.5048980216818637,2.504898007035218,0.03738947662174269,,,,,1.3654619898170939e-17,3.695215812123961e-09,0.33711399354758564,1.2455204083590465e-17,3.529193120755857e-09,0.39394479854739695,,,
